JobID|JobName|State|ExitCode|Submit|Start|End|Elapsed|AllocCPUS|NNodes|NodeList|TotalCPU|CPUTime|MaxRSS
70217_72|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn143|00:35.363|00:15:24|
70217_72.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn143|00:35.361|00:15:24|0.48G
70217_72.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn143|00:00.001|00:15:24|0.00G
70217_73|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:38|00:00:34|28|1|sn060|00:35.789|00:15:52|
70217_73.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:38|00:00:34|28|1|sn060|00:35.787|00:15:52|0.48G
70217_73.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:38|00:00:34|28|1|sn060|00:00.001|00:15:52|0.00G
70217_74|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn103|00:35.086|00:15:24|
70217_74.batch|batch|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn103|00:35.084|00:15:24|0.50G
70217_74.extern|extern|COMPLETED|0:0|2026-07-19T19:39:04|2026-07-19T19:39:04|2026-07-19T19:39:37|00:00:33|28|1|sn103|00:00.001|00:15:24|0.00G
70217_75|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:37|00:00:32|28|1|sn043|00:34.967|00:14:56|
70217_75.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:37|00:00:32|28|1|sn043|00:34.965|00:14:56|0.49G
70217_75.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:37|00:00:32|28|1|sn043|00:00.001|00:14:56|0.00G
70217_76|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn140|00:35.703|00:15:52|
70217_76.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn140|00:35.701|00:15:52|0.48G
70217_76.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn140|00:00.001|00:15:52|0.00G
70217_77|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn098|00:35.246|00:15:24|
70217_77.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn098|00:35.244|00:15:24|0.46G
70217_77.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn098|00:00.002|00:15:24|0.00G
70217_78|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn077|00:35.334|00:15:24|
70217_78.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn077|00:35.332|00:15:24|0.45G
70217_78.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn077|00:00.001|00:15:24|0.00G
70217_79|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn145|00:35.201|00:15:24|
70217_79.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn145|00:35.199|00:15:24|0.46G
70217_79.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn145|00:00.001|00:15:24|0.00G
70217_80|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn044|00:35.590|00:15:52|
70217_80.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn044|00:35.588|00:15:52|0.46G
70217_80.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn044|00:00.001|00:15:52|0.00G
70217_81|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn075|00:35.402|00:15:24|
70217_81.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:38|00:00:33|28|1|sn075|00:35.400|00:15:24|0.49G
70217_81.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn075|00:00.001|00:15:52|0.00G
70217_82|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:40|00:00:35|28|1|sn025|00:35.956|00:16:20|
70217_82.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:40|00:00:35|28|1|sn025|00:35.954|00:16:20|0.47G
70217_82.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:40|00:00:35|28|1|sn025|00:00.001|00:16:20|0.00G
70217_83|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn106|00:35.906|00:15:52|
70217_83.batch|batch|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn106|00:35.904|00:15:52|0.46G
70217_83.extern|extern|COMPLETED|0:0|2026-07-19T19:39:05|2026-07-19T19:39:05|2026-07-19T19:39:39|00:00:34|28|1|sn106|00:00.002|00:15:52|0.00G
70217_84|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn093|00:35.366|00:15:24|
70217_84.batch|batch|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn093|00:35.364|00:15:24|0.47G
70217_84.extern|extern|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn093|00:00.001|00:15:24|0.00G
70217_85|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn102|00:34.874|00:15:24|
70217_85.batch|batch|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn102|00:34.872|00:15:24|0.44G
70217_85.extern|extern|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn102|00:00.001|00:15:24|0.00G
70217_86|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn100|00:35.300|00:15:24|
70217_86.batch|batch|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn100|00:35.298|00:15:24|0.46G
70217_86.extern|extern|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn100|00:00.001|00:15:24|0.00G
70217_87|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:06|2026-07-19T19:39:40|00:00:34|28|1|sn024|00:36.808|00:15:52|
70217_87.batch|batch|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:40|00:00:34|28|1|sn024|00:36.806|00:15:52|0.46G
70217_87.extern|extern|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:40|00:00:34|28|1|sn024|00:00.001|00:15:52|0.00G
70217_88|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn076|00:35.618|00:15:24|
70217_88.batch|batch|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn076|00:35.616|00:15:24|0.47G
70217_88.extern|extern|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn076|00:00.001|00:15:24|0.00G
70217_89|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn142|00:35.141|00:15:24|
70217_89.batch|batch|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn142|00:35.139|00:15:24|0.48G
70217_89.extern|extern|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:39|00:00:33|28|1|sn142|00:00.001|00:15:24|0.00G
70217_90|fra_par_10k|COMPLETED|0:0|2026-07-19T19:37:45|2026-07-19T19:39:06|2026-07-19T19:39:38|00:00:32|28|1|sn042|00:34.615|00:14:56|
70217_90.batch|batch|COMPLETED|0:0|2026-07-19T19:39:06|2026-07-19T19:39:06|2026-07-19T19:39:38|00:00:32|28|1|sn042|00:34.613|00:14:56|0.46G
